,Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
0,259358.0,34in Ultrawide Monitor,1.0,379.989990234375,2028-10-19 10:56:00.0000000,"609 Cherry St, Dallas, TX 75001"
1,259359.0,27in 4K Gaming Monitor,1.0,389.989990234375,2028-10-19 17:26:00.0000000,"225 5th St, Los Angeles, CA 90001"
2,259360.0,AAA Batteries (4-pack),2.0,2.990000009536743,2024-10-19 17:20:00.0000000,"967 12th St, New York City, NY 10001"
3,259361.0,27in FHD Monitor,1.0,149.99000549316406,2014-10-19 22:26:00.0000000,"628 Jefferson St, New York City, NY 10001"
4,259362.0,Wired Headphones,1.0,11.989999771118164,2007-10-19 16:10:00.0000000,"534 14th St, Los Angeles, CA 90001"
5,259363.0,AAA Batteries (4-pack),1.0,2.990000009536743,2001-10-19 18:55:00.0000000,"976 Lake St, New York City, NY 10001"
6,259364.0,Wired Headphones,1.0,11.989999771118164,2029-10-19 11:02:00.0000000,"874 North St, Los Angeles, CA 90001"
7,259365.0,Lightning Charging Cable,1.0,14.949999809265137,2029-10-19 11:19:00.0000000,"127 12th St, Los Angeles, CA 90001"
8,259366.0,Apple Airpods Headphones,1.0,150.0,2020-10-19 11:52:00.0000000,"955 9th St, Los Angeles, CA 90001"
9,259367.0,Apple Airpods Headphones,1.0,150.0,2016-10-19 16:19:00.0000000,"742 14th St, San Francisco, CA 94016"
10,259368.0,27in FHD Monitor,1.0,149.99000549316406,2013-10-19 13:47:00.0000000,"960 Ridge St, Boston, MA 02215"
11,259369.0,USB-C Charging Cable,1.0,11.949999809265137,2026-10-19 10:54:00.0000000,"538 Johnson St, Portland, OR 97035"
12,259370.0,20in Monitor,1.0,109.98999786376953,2028-10-19 23:56:00.0000000,"528 Forest St, San Francisco, CA 94016"
13,259371.0,iPhone,1.0,700.0,2026-10-19 12:12:00.0000000,"306 Main St, Los Angeles, CA 90001"
14,259372.0,Wired Headphones,1.0,11.989999771118164,2017-10-19 11:07:00.0000000,"434 Madison St, San Francisco, CA 94016"
15,259373.0,27in FHD Monitor,1.0,149.99000549316406,2031-10-19 20:15:00.0000000,"924 Church St, San Francisco, CA 94016"
16,259374.0,Apple Airpods Headphones,1.0,150.0,2017-10-19 22:14:00.0000000,"784 6th St, Los Angeles, CA 90001"
17,259375.0,USB-C Charging Cable,1.0,11.949999809265137,2010-10-19 08:53:00.0000000,"557 Forest St, San Francisco, CA 94016"
18,259376.0,27in FHD Monitor,1.0,149.99000549316406,2012-10-19 00:03:00.0000000,"218 14th St, San Francisco, CA 94016"
19,259377.0,Bose SoundSport Headphones,1.0,99.98999786376953,2023-10-19 16:49:00.0000000,"88 Main St, Boston, MA 02215"
20,259378.0,Lightning Charging Cable,1.0,14.949999809265137,2018-10-19 16:45:00.0000000,"997 1st St, Boston, MA 02215"
21,259379.0,27in 4K Gaming Monitor,1.0,389.989990234375,2009-10-19 13:15:00.0000000,"148 Lincoln St, San Francisco, CA 94016"
22,259380.0,Apple Airpods Headphones,1.0,150.0,2019-10-19 12:21:00.0000000,"424 North St, San Francisco, CA 94016"
23,259381.0,ThinkPad Laptop,1.0,999.989990234375,2025-10-19 08:44:00.0000000,"887 12th St, New York City, NY 10001"
24,259382.0,Wired Headphones,1.0,11.989999771118164,2018-10-19 14:16:00.0000000,"605 Ridge St, New York City, NY 10001"
25,259383.0,Apple Airpods Headphones,1.0,150.0,2013-10-19 12:32:00.0000000,"597 6th St, Los Angeles, CA 90001"
26,259384.0,ThinkPad Laptop,1.0,999.989990234375,2029-10-19 23:22:00.0000000,"383 Cedar St, Dallas, TX 75001"
27,259385.0,Lightning Charging Cable,1.0,14.949999809265137,2028-10-19 15:28:00.0000000,"892 1st St, Los Angeles, CA 90001"
28,259386.0,Lightning Charging Cable,1.0,14.949999809265137,2016-10-19 21:39:00.0000000,"966 Hickory St, Los Angeles, CA 90001"
29,259387.0,Bose SoundSport Headphones,1.0,99.98999786376953,2001-10-19 13:58:00.0000000,"695 6th St, New York City, NY 10001"
30,259388.0,AA Batteries (4-pack),1.0,3.8399999141693115,2012-10-19 13:15:00.0000000,"948 Forest St, San Francisco, CA 94016"
31,259389.0,AAA Batteries (4-pack),1.0,2.990000009536743,2017-10-19 14:14:00.0000000,"661 Maple St, Dallas, TX 75001"
32,259390.0,Lightning Charging Cable,1.0,14.949999809265137,2008-10-19 12:35:00.0000000,"134 Cherry St, Atlanta, GA 30301"
33,259391.0,Google Phone,1.0,600.0,2024-10-19 12:51:00.0000000,"374 Hill St, Dallas, TX 75001"
34,259392.0,Wired Headphones,1.0,11.989999771118164,2019-10-19 15:26:00.0000000,"374 Forest St, Los Angeles, CA 90001"
35,259393.0,AA Batteries (4-pack),1.0,3.8399999141693115,2022-10-19 20:35:00.0000000,"2 13th St, New York City, NY 10001"
36,259394.0,AA Batteries (4-pack),1.0,3.8399999141693115,2024-10-19 18:58:00.0000000,"909 Lake St, Atlanta, GA 30301"
37,259395.0,Bose SoundSport Headphones,1.0,99.98999786376953,2013-10-19 13:55:00.0000000,"235 Adams St, Atlanta, GA 30301"
38,259396.0,AAA Batteries (4-pack),1.0,2.990000009536743,2023-10-19 22:40:00.0000000,"218 Spruce St, Austin, TX 73301"
39,259397.0,Wired Headphones,1.0,11.989999771118164,2001-10-19 14:39:00.0000000,"901 Walnut St, Atlanta, GA 30301"
40,259398.0,Bose SoundSport Headphones,1.0,99.98999786376953,2022-10-19 10:20:00.0000000,"367 Pine St, Seattle, WA 98101"
41,259399.0,AAA Batteries (4-pack),2.0,2.990000009536743,2031-10-19 19:06:00.0000000,"263 Willow St, San Francisco, CA 94016"
42,259400.0,27in 4K Gaming Monitor,1.0,389.989990234375,2019-10-19 09:24:00.0000000,"628 Forest St, Los Angeles, CA 90001"
43,259401.0,Wired Headphones,1.0,11.989999771118164,2015-10-19 23:39:00.0000000,"291 Lincoln St, Los Angeles, CA 90001"
44,259402.0,AA Batteries (4-pack),3.0,3.8399999141693115,2009-10-19 20:27:00.0000000,"11 Lakeview St, Seattle, WA 98101"
45,259403.0,USB-C Charging Cable,1.0,11.949999809265137,2025-10-19 19:42:00.0000000,"255 Cedar St, New York City, NY 10001"
46,259404.0,Bose SoundSport Headphones,1.0,99.98999786376953,2007-10-19 19:48:00.0000000,"883 5th St, Boston, MA 02215"
47,259405.0,Bose SoundSport Headphones,1.0,99.98999786376953,2007-10-19 19:19:00.0000000,"698 Center St, Dallas, TX 75001"
48,259406.0,AA Batteries (4-pack),1.0,3.8399999141693115,2012-10-19 12:01:00.0000000,"665 Elm St, Atlanta, GA 30301"
49,259407.0,Lightning Charging Cable,1.0,14.949999809265137,2030-10-19 12:09:00.0000000,"189 Chestnut St, San Francisco, CA 94016"
50,259408.0,34in Ultrawide Monitor,1.0,379.989990234375,2021-10-19 20:09:00.0000000,"36 Pine St, Los Angeles, CA 90001"
51,259409.0,27in FHD Monitor,1.0,149.99000549316406,2003-10-19 16:26:00.0000000,"854 Main St, Austin, TX 73301"
52,259410.0,AA Batteries (4-pack),2.0,3.8399999141693115,2001-10-19 21:32:00.0000000,"110 Hill St, San Francisco, CA 94016"
53,259411.0,AA Batteries (4-pack),1.0,3.8399999141693115,2009-10-19 14:47:00.0000000,"39 West St, San Francisco, CA 94016"
54,259412.0,Apple Airpods Headphones,1.0,150.0,2024-10-19 18:05:00.0000000,"276 North St, Los Angeles, CA 90001"
55,259413.0,Bose SoundSport Headphones,1.0,99.98999786376953,2030-10-19 09:54:00.0000000,"387 West St, Boston, MA 02215"
56,259414.0,Apple Airpods Headphones,1.0,150.0,2008-10-19 21:01:00.0000000,"29 Washington St, San Francisco, CA 94016"
57,259415.0,AAA Batteries (4-pack),2.0,2.990000009536743,2016-10-19 19:13:00.0000000,"280 8th St, Portland, OR 97035"
58,259416.0,Vareebadd Phone,1.0,400.0,2010-10-19 19:10:00.0000000,"680 South St, Dallas, TX 75001"
59,259417.0,Wired Headphones,1.0,11.989999771118164,2008-10-19 16:27:00.0000000,"908 Washington St, Seattle, WA 98101"
60,259418.0,iPhone,1.0,700.0,2025-10-19 12:06:00.0000000,"253 8th St, Austin, TX 73301"
61,259419.0,USB-C Charging Cable,1.0,11.949999809265137,2028-10-19 08:13:00.0000000,"820 South St, Los Angeles, CA 90001"
62,259420.0,Google Phone,1.0,600.0,2018-10-19 08:54:00.0000000,"791 Forest St, Los Angeles, CA 90001"
63,259420.0,USB-C Charging Cable,2.0,11.949999809265137,2018-10-19 08:54:00.0000000,"791 Forest St, Los Angeles, CA 90001"
64,259421.0,Wired Headphones,1.0,11.989999771118164,2019-10-19 16:52:00.0000000,"240 Chestnut St, San Francisco, CA 94016"
65,259422.0,Google Phone,1.0,600.0,2005-10-19 04:53:00.0000000,"849 Ridge St, San Francisco, CA 94016"
66,259422.0,USB-C Charging Cable,1.0,11.949999809265137,2005-10-19 04:53:00.0000000,"849 Ridge St, San Francisco, CA 94016"
67,259423.0,AA Batteries (4-pack),1.0,3.8399999141693115,2014-10-19 15:37:00.0000000,"32 12th St, New York City, NY 10001"
68,259424.0,USB-C Charging Cable,2.0,11.949999809265137,2031-10-19 22:54:00.0000000,"64 Lake St, Atlanta, GA 30301"
69,259425.0,Lightning Charging Cable,1.0,14.949999809265137,2018-10-19 11:36:00.0000000,"81 Spruce St, Austin, TX 73301"
